"study","n","nGene","nSel","MAE","medErr","nAUC","pct2h","set"
"V1",286,18,18,2.2669422877181,1.7706469115708,0.821824009324009,55.2447552447552,"TScore18"
"V2",249,18,18,1.79676730459637,1.35067346571222,0.860692771084337,65.0602409638554,"TScore18"
"V3",153,18,18,2.43123235803893,2.07287883758916,0.807734204793029,49.0196078431373,"TScore18"
"Valid.all",688,18,18,2.13331265103463,1.72035092426317,0.832757994186047,57.4127906976744,"TScore18"
"V1",286,37,31,2.40733019028766,1.67749166099296,0.81002331002331,54.8951048951049,"TimeMachine37"
"V2",249,37,31,1.69589938654543,1.31761477961632,0.868808567603748,69.8795180722892,"TimeMachine37"
"V3",153,37,31,1.70116016712761,1.4608350959742,0.867647058823529,66.0130718954248,"TimeMachine37"
"Valid.all",688,37,31,1.99280942913169,1.43790341234143,0.844113372093023,62.7906976744186,"TimeMachine37"
"V1",286,17,14,2.45073571609255,1.93486527133129,0.805506993006993,51.7482517482517,"tauFisher"
"V2",249,17,14,1.86783546976444,1.49531303295242,0.855170682730924,61.4457831325301,"tauFisher"
"V3",153,17,14,2.22162665202587,1.97235773109117,0.825299564270152,51.6339869281046,"tauFisher"
"Valid.all",688,17,14,2.18882314612467,1.743319981432,0.827882751937985,55.2325581395349,"tauFisher"
"V1",286,8,8,2.86972105560757,2.14143077965835,0.770833333333333,46.8531468531469,"clockOnly"
"V2",249,8,8,2.32532521849045,1.59906879079727,0.816265060240964,55.8232931726908,"clockOnly"
"V3",153,8,8,2.59914834949936,1.92126403305242,0.793845315904139,53.5947712418301,"clockOnly"
"Valid.all",688,8,8,2.61252310869373,1.9326570446935,0.792393410852713,51.5988372093023,"clockOnly"
"V1",286,4,4,2.38062470609433,1.84735635781727,0.811625874125874,52.7972027972028,"intersection"
"V2",249,4,4,1.80052112274575,1.38242321979459,0.859521419009371,63.0522088353414,"intersection"
"V3",153,4,4,2.14321152581264,1.60216958001433,0.83251633986928,58.1699346405229,"intersection"
"Valid.all",688,4,4,2.11787760022675,1.62112306582587,0.833605862403101,57.703488372093,"intersection"
"V1",286,7615,172,2.06500286179764,1.62401608805828,0.83784965034965,61.1888111888112,"fullPool"
"V2",249,7615,172,1.68686926175245,1.63471167610431,0.869477911646586,67.8714859437751,"fullPool"
"V3",153,7615,172,1.8766778567153,1.8558719173468,0.854030501089325,55.5555555555556,"fullPool"
"Valid.all",688,7615,172,1.88626886152315,1.65948913777963,0.852894864341085,62.3546511627907,"fullPool"
