"experiment","label","nGene","nSel","MAE","nAUC","pct2h"
"Exp1-JTKpool","top10",10,10,2.39813132978407,0.8101683624031,51.0174418604651
"Exp1-JTKpool","top15",15,13,2.37664698847399,0.812197189922481,52.6162790697674
"Exp1-JTKpool","top20",20,19,2.20497453301226,0.826732073643411,58.7209302325581
"Exp1-JTKpool","top25",25,23,2.21159774859801,0.826035610465116,57.5581395348837
"Exp1-JTKpool","top30",30,26,2.12647983013577,0.833212209302325,62.0639534883721
"Exp1-JTKpool","top40",40,37,2.22222537289225,0.825006056201551,57.8488372093023
"Exp1-JTKpool","top50",50,42,2.11138373498754,0.834150920542636,58.8662790697674
"Exp1-JTKpool","top75",75,68,2.16237051331434,0.830032703488372,56.9767441860465
"Exp1-JTKpool","top100",100,81,2.41603867125188,0.808805717054263,53.6337209302326
"Exp1-JTKpool","top150",150,102,2.4198697600672,0.808654312015504,54.9418604651163
"Exp1-JTKpool","top200",200,120,2.31814173208895,0.817163275193799,56.3953488372093
"Exp1-JTKpool","top300",300,114,2.33596115127615,0.815921753875969,53.4883720930233
"Exp1-JTKpool","top500",500,151,2.48388874143139,0.80344597868217,54.3604651162791
"Exp1-JTKpool","top1000",1000,175,2.11340328182394,0.834090358527132,57.8488372093023
"Exp1-JTKpool","top2000",2000,136,1.98386787044288,0.845415455426357,60.4651162790698
"Exp1-JTKpool","top7615",7615,173,1.88574729778608,0.852985707364341,62.2093023255814
"Exp2-geneset","intersection",4,4,2.11787760022675,0.833605862403101,57.703488372093
"Exp2-geneset","clockOnly",8,8,2.61252310869373,0.792393410852713,51.5988372093023
"Exp2-geneset","tauFisher",17,14,2.18882314612467,0.827882751937985,55.2325581395349
"Exp2-geneset","TScore18",18,18,2.13331265103463,0.832757994186047,57.4127906976744
"Exp2-geneset","TimeMachine37",37,31,1.99280942913169,0.844113372093023,62.7906976744186
"Exp2-geneset","fullPool",7615,172,1.88626886152315,0.852894864341085,62.3546511627907
